Environment,Main Category,Subcategory,Sub-Subcategory,Status,Due Date / Frequency,Priority,Estimated Time / Effort
Home,Errands & Shopping,Supplies,Grocery shopping,,,,
Home,Errands & Shopping,Supplies,Household essentials,,,,
Home,Errands & Shopping,Supplies,Hardware store runs,,,,
Home,Errands & Shopping,Medical & Pharmacy,Prescription pickups,,,,
Home,Errands & Shopping,Medical & Pharmacy,First-aid restocking,,,,
Home,Errands & Shopping,Postal & Logistics,Mail pickups,,,,
Home,Errands & Shopping,Postal & Logistics,Shipping packages,,,,
Home,Errands & Shopping,Postal & Logistics,Return processing,,,,
Home,Family & Personal Care,Meal Management,Meal prep,,,,
Home,Family & Personal Care,Meal Management,Cooking,,,,
Home,Family & Personal Care,Meal Management,Recipe planning,,,,
Home,Family & Personal Care,Childcare,School pickup,,,,
Home,Family & Personal Care,Childcare,Homework help,,,,
Home,Family & Personal Care,Childcare,Activity scheduling,,,,
Home,Family & Personal Care,Pet Care,Vet visits,,,,
Home,Family & Personal Care,Pet Care,Feeding & walking,,,,
Home,Family & Personal Care,Pet Care,Grooming,,,,
Home,Family & Personal Care,Personal Health & Fitness,Workout routines,,,,
Home,Family & Personal Care,Personal Health & Fitness,Medical appointments,,,,
Home,Family & Personal Care,Personal Health & Fitness,Medication tracking,,,,
Home,Family & Personal Care,Self-Care,Meditation,,,,
Home,Family & Personal Care,Self-Care,Hobby time,,,,
Home,Family & Personal Care,Self-Care,Wardrobe management,,,,
Home,Finances & Admin,Money Management,Budget tracking,,,,
Home,Finances & Admin,Money Management,Bill payments,,,,
Home,Finances & Admin,Money Management,Savings allocation,,,,
Home,Finances & Admin,Tax & Legal,Tax preparation,,,,
Home,Finances & Admin,Tax & Legal,Document archiving,,,,
Home,Finances & Admin,Tax & Legal,Will/Estate planning,,,,
Home,Finances & Admin,Insurance & Subscriptions,Policy reviews,,,,
Home,Finances & Admin,Insurance & Subscriptions,Subscription audits,,,,
Home,Finances & Admin,Digital Admin,Cloud backups,,,,
Home,Finances & Admin,Digital Admin,Password updates,,,,
Home,Finances & Admin,Digital Admin,Email inbox zero,,,,
Home,Household Chores,Deep Cleaning,Carpet shampooing,,,,
Home,Household Chores,Deep Cleaning,Window washing,,,,
Home,Household Chores,Deep Cleaning,Grout cleaning,,,,
Home,Household Chores,Deep Cleaning,Oven scrub,,,,
Home,Household Chores,Daily & Weekly Tidying,Dusting,,,,
Home,Household Chores,Daily & Weekly Tidying,Vacuuming,,,,
Home,Household Chores,Daily & Weekly Tidying,Mopping,,,,
Home,Household Chores,Daily & Weekly Tidying,Surface wiping,,,,
Home,Household Chores,Laundry,Washing clothes,,,,
Home,Household Chores,Laundry,Folding & sorting,,,,
Home,Household Chores,Laundry,Ironing,,,,
Home,Household Chores,Laundry,Dry cleaning drop-off,,,,
Home,Household Chores,Kitchen Cleanup,Dishwashing,,,,
